activity_or_event,administrative_voter_drive_activity_indicator,amendment_indicator,back_reference_schedule_name,back_reference_transaction_id,committee,committee_id,direct_candidate_support_activity_indicator,disbursement_amount,disbursement_purpose,entity_type,event_amount_year_to_date,event_purpose_date,exempt_activity_indicator,fed_share,file_number,filing,fundraising_activity_indicator,general_voter_drive_activity_indicator,image_number,load_timestamp,memo_code,memo_text,nonfed_share,payee_city,payee_name,payee_state,payee_zip,pdf_url,public_comm_indicator,related_line_number,report_type,transaction_id
Administrative,X,A,,,"{'affiliated_committee_name': 'NRSC VICTORY', 'candidate_ids': [], 'city': 'HOOVER', 'committee_id': 'C00044776', 'committee_type': 'Y', 'committee_type_full': 'Party - Qualified', 'cycle': 2024, 'cycles': [1976, 1978, 1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024], 'cycles_has_activity': [1976, 1978, 1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024], 'cycles_has_financial': [1976, 1978, 1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024], 'designation': 'U', 'designation_full': 'Unauthorized', 'filing_frequency': 'M', 'first_f1_date': '1976-03-01', 'first_file_date': '1976-03-01', 'is_active': True, 'last_cycle_has_activity': 2024, 'last_cycle_has_financial': 2024, 'last_f1_date': '2024-08-08', 'last_file_date': '2024-09-05', 'name': 'ALABAMA REPUBLICAN PARTY', 'organization_type': None, 'organization_type_full': None, 'party': 'REP', 'party_full': 'REPUBLICAN PARTY', 'state': 'AL', 'state_full': 'Alabama', 'street_1': '3505 LORNA ROAD', 'street_2': None, 'treasurer_name': 'BRYANT, SALLIE MRS.', 'zip': '35216'}",C00044776,,312.5,IT SUPPORT,ORG,214929.99,2024-08-28,,87.5,1814066,"{'amended_by': None, 'amendment_chain': [1814066], 'amendment_number': 0, 'amends_file': None, 'beginning_image_number': '202409059675356331', 'committee_id': 'C00044776', 'committee_name': 'ALABAMA REPUBLICAN PARTY', 'coverage_end_date': '2024-08-31', 'coverage_start_date': '2024-08-01', 'csv_url': 'https://docquery.fec.gov/csv/066/1814066.csv', 'document_description': 'SEPTEMBER MONTHLY 2024', 'ending_image_number': '202409059675356406', 'fec_file_id': 'FEC-1814066', 'fec_url': 'https://docquery.fec.gov/dcdev/posted/1814066.fec', 'file_number': 1814066, 'filed_date': '2024-09-05', 'form_type': 'F3XN', 'html_url': 'https://docquery.fec.gov/cgi-bin/forms/C00044776/1814066/', 'is_amended': False, 'load_timestamp': '2024-09-05T14:18:17', 'most_recent': True, 'most_recent_filing': 1814066, 'pdf_url': 'https://docquery.fec.gov/pdf/331/202409059675356331/202409059675356331.pdf', 'receipt_date': '2024-09-05T14:18:12'}",,,202409059675356404,2024-09-05T14:18:35,,,225.00,HELENA,EPPTECH,AL,35080,https://docquery.fec.gov/cgi-bin/fecimg/?202409059675356404,,198,F3XN,H4.24931
Admin 2023-2024,X,A,,,"{'affiliated_committee_name': 'CALIFORNIA REPUBLICAN PARTY (FEDERAL)', 'candidate_ids': [], 'city': 'SAN LEANDRO', 'committee_id': 'C00404020', 'committee_type': 'Y', 'committee_type_full': 'Party - Qualified', 'cycle': 2024, 'cycles': [2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024], 'cycles_has_activity': [2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024], 'cycles_has_financial': [2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024], 'designation': 'U', 'designation_full': 'Unauthorized', 'filing_frequency': 'M', 'first_f1_date': '2004-07-26', 'first_file_date': '2004-07-26', 'is_active': True, 'last_cycle_has_activity': 2024, 'last_cycle_has_financial': 2024, 'last_f1_date': '2023-07-07', 'last_file_date': '2024-09-04', 'name': 'ALAMEDA COUNTY REPUBLICAN PARTY (FED)', 'organization_type': None, 'organization_type_full': None, 'party': 'REP', 'party_full': 'REPUBLICAN PARTY', 'state': 'CA', 'state_full': 'California', 'street_1': '1039 MACARTHUR BOULEVARD', 'street_2': None, 'treasurer_name': 'JAIN, UTKARSH', 'zip': '945773005'}",C00404020,,18.8,Credit Card Fees,ORG,12232.06,2024-08-28,,6.77,1813855,"{'amended_by': None, 'amendment_chain': [1813855], 'amendment_number': 0, 'amends_file': None, 'beginning_image_number': '202409049675346363', 'committee_id': 'C00404020', 'committee_name': 'ALAMEDA COUNTY REPUBLICAN PARTY (FED)', 'coverage_end_date': '2024-08-31', 'coverage_start_date': '2024-08-01', 'csv_url': 'https://docquery.fec.gov/csv/855/1813855.csv', 'document_description': 'SEPTEMBER MONTHLY 2024', 'ending_image_number': '202409049675346376', 'fec_file_id': 'FEC-1813855', 'fec_url': 'https://docquery.fec.gov/dcdev/posted/1813855.fec', 'file_number': 1813855, 'filed_date': '2024-09-04', 'form_type': 'F3XN', 'html_url': 'https://docquery.fec.gov/cgi-bin/forms/C00404020/1813855/', 'is_amended': False, 'load_timestamp': '2024-09-04T11:36:44', 'most_recent': True, 'most_recent_filing': 1813855, 'pdf_url': 'https://docquery.fec.gov/pdf/363/202409049675346363/202409049675346363.pdf', 'receipt_date': '2024-09-04T11:36:38'}",,,202409049675346373,2024-09-04T11:36:44,,,12.03,New Orleans,Anedot,LA,70112,https://docquery.fec.gov/cgi-bin/fecimg/?202409049675346373,,14,F3XN,H4-10940
36/64 Administrative,X,A,,,"{'affiliated_committee_name': 'TAMIKA VICTORY FUND', 'candidate_ids': [], 'city': 'SACRAMENTO', 'committee_id': 'C00254490', 'committee_type': 'Y', 'committee_type_full': 'Party - Qualified', 'cycle': 2024, 'cycles': [1992, 1994, 1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024], 'cycles_has_activity': [1992, 1994, 1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024], 'cycles_has_financial': [1992, 1994, 1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024], 'designation': 'U', 'designation_full': 'Unauthorized', 'filing_frequency': 'M', 'first_f1_date': '1991-09-30', 'first_file_date': '1991-09-30', 'is_active': True, 'last_cycle_has_activity': 2024, 'last_cycle_has_financial': 2024, 'last_f1_date': '2023-07-16', 'last_file_date': '2024-09-06', 'name': 'REPUBLICAN PARTY OF SACRAMENTO COUNTY (FED. ACCT.)', 'organization_type': None, 'organization_type_full': None, 'party': 'REP', 'party_full': 'REPUBLICAN PARTY', 'state': 'CA', 'state_full': 'California', 'street_1': '9851 HORN ROAD', 'street_2': 'SUITE 100', 'treasurer_name': 'FORTE, CHRISTIAN', 'zip': '958271957'}",C00254490,,23.3,Credit Card Processing Fees,ORG,42928.62,2024-08-28,,8.39,1814198,"{'amended_by': None, 'amendment_chain': [1814198], 'amendment_number': 0, 'amends_file': None, 'beginning_image_number': '202409069675370953', 'committee_id': 'C00254490', 'committee_name': 'REPUBLICAN PARTY OF SACRAMENTO COUNTY (FED. ACCT.)', 'coverage_end_date': '2024-08-31', 'coverage_start_date': '2024-08-01', 'csv_url': 'https://docquery.fec.gov/csv/198/1814198.csv', 'document_description': 'SEPTEMBER MONTHLY 2024', 'ending_image_number': '202409069675370977', 'fec_file_id': 'FEC-1814198', 'fec_url': 'https://docquery.fec.gov/dcdev/posted/1814198.fec', 'file_number': 1814198, 'filed_date': '2024-09-06', 'form_type': 'F3XN', 'html_url': 'https://docquery.fec.gov/cgi-bin/forms/C00254490/1814198/', 'is_amended': False, 'load_timestamp': '2024-09-06T02:11:20', 'most_recent': True, 'most_recent_filing': 1814198, 'pdf_url': 'https://docquery.fec.gov/pdf/953/202409069675370953/202409069675370953.pdf', 'receipt_date': '2024-09-06T02:11:13'}",,,202409069675370977,2024-09-06T02:11:27,,,14.91,Baton Rouge,Anedot,LA,708844314,https://docquery.fec.gov/cgi-bin/fecimg/?202409069675370977,,51,F3XN,H4-210353
36/64 Admin,X,A,,,"{'affiliated_committee_name': 'CALIFORNIA REPUBLICAN PARTY - FEDERAL', 'candidate_ids': [], 'city': 'VISALIA', 'committee_id': 'C00390641', 'committee_type': 'Y', 'committee_type_full': 'Party - Qualified', 'cycle': 2024, 'cycles': [2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024], 'cycles_has_activity': [2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024], 'cycles_has_financial': [2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024], 'designation': 'U', 'designation_full': 'Unauthorized', 'filing_frequency': 'M', 'first_f1_date': '2003-09-29', 'first_file_date': '2003-09-29', 'is_active': True, 'last_cycle_has_activity': 2024, 'last_cycle_has_financial': 2024, 'last_f1_date': '2021-11-08', 'last_file_date': '2024-09-06', 'name': 'TULARE COUNTY REPUBLICAN CENTRAL COMMITTEE (FEDERAL)', 'organization_type': None, 'organization_type_full': None, 'party': 'REP', 'party_full': 'REPUBLICAN PARTY', 'state': 'CA', 'state_full': 'California', 'street_1': '810 W MAIN STREET', 'street_2': 'SUITE B', 'treasurer_name': 'RAGAN, CRYSTAL', 'zip': '932916168'}",C00390641,,1000.0,Executive Director less than 25% FEA,IND,31537.81,2024-08-28,,360.0,1814239,"{'amended_by': None, 'amendment_chain': [1814239], 'amendment_number': 0, 'amends_file': None, 'beginning_image_number': '202409069675371331', 'committee_id': 'C00390641', 'committee_name': 'TULARE COUNTY REPUBLICAN CENTRAL COMMITTEE (FEDERAL)', 'coverage_end_date': '2024-08-31', 'coverage_start_date': '2024-08-01', 'csv_url': 'https://docquery.fec.gov/csv/239/1814239.csv', 'document_description': 'SEPTEMBER MONTHLY 2024', 'ending_image_number': '202409069675371342', 'fec_file_id': 'FEC-1814239', 'fec_url': 'https://docquery.fec.gov/dcdev/posted/1814239.fec', 'file_number': 1814239, 'filed_date': '2024-09-06', 'form_type': 'F3XN', 'html_url': 'https://docquery.fec.gov/cgi-bin/forms/C00390641/1814239/', 'is_amended': False, 'load_timestamp': '2024-09-06T12:46:02', 'most_recent': True, 'most_recent_filing': 1814239, 'pdf_url': 'https://docquery.fec.gov/pdf/331/202409069675371331/202409069675371331.pdf', 'receipt_date': '2024-09-06T12:45:56'}",,,202409069675371340,2024-09-06T12:46:07,,,640.00,Porterville,Ragan,CA,93257,https://docquery.fec.gov/cgi-bin/fecimg/?202409069675371340,,12,F3XN,H4-24948
36/64 Admin,X,A,,,"{'affiliated_committee_name': 'CALIFORNIA REPUBLICAN PARTY - FEDERAL', 'candidate_ids': [], 'city': 'VISALIA', 'committee_id': 'C00390641', 'committee_type': 'Y', 'committee_type_full': 'Party - Qualified', 'cycle': 2024, 'cycles': [2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024], 'cycles_has_activity': [2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024], 'cycles_has_financial': [2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024], 'designation': 'U', 'designation_full': 'Unauthorized', 'filing_frequency': 'M', 'first_f1_date': '2003-09-29', 'first_file_date': '2003-09-29', 'is_active': True, 'last_cycle_has_activity': 2024, 'last_cycle_has_financial': 2024, 'last_f1_date': '2021-11-08', 'last_file_date': '2024-09-06', 'name': 'TULARE COUNTY REPUBLICAN CENTRAL COMMITTEE (FEDERAL)', 'organization_type': None, 'organization_type_full': None, 'party': 'REP', 'party_full': 'REPUBLICAN PARTY', 'state': 'CA', 'state_full': 'California', 'street_1': '810 W MAIN STREET', 'street_2': 'SUITE B', 'treasurer_name': 'RAGAN, CRYSTAL', 'zip': '932916168'}",C00390641,,147.62,Utilities,ORG,31537.81,2024-08-28,,53.14,1814239,"{'amended_by': None, 'amendment_chain': [1814239], 'amendment_number': 0, 'amends_file': None, 'beginning_image_number': '202409069675371331', 'committee_id': 'C00390641', 'committee_name': 'TULARE COUNTY REPUBLICAN CENTRAL COMMITTEE (FEDERAL)', 'coverage_end_date': '2024-08-31', 'coverage_start_date': '2024-08-01', 'csv_url': 'https://docquery.fec.gov/csv/239/1814239.csv', 'document_description': 'SEPTEMBER MONTHLY 2024', 'ending_image_number': '202409069675371342', 'fec_file_id': 'FEC-1814239', 'fec_url': 'https://docquery.fec.gov/dcdev/posted/1814239.fec', 'file_number': 1814239, 'filed_date': '2024-09-06', 'form_type': 'F3XN', 'html_url': 'https://docquery.fec.gov/cgi-bin/forms/C00390641/1814239/', 'is_amended': False, 'load_timestamp': '2024-09-06T12:46:02', 'most_recent': True, 'most_recent_filing': 1814239, 'pdf_url': 'https://docquery.fec.gov/pdf/331/202409069675371331/202409069675371331.pdf', 'receipt_date': '2024-09-06T12:45:56'}",,,202409069675371341,2024-09-06T12:46:07,,,94.48,Rosemead,So Ca Edison Co,CA,917700600,https://docquery.fec.gov/cgi-bin/fecimg/?202409069675371341,,13,F3XN,H4-24946
36/64 Admin,X,A,,,"{'affiliated_committee_name': 'CALIFORNIA REPUBLICAN PARTY - FEDERAL', 'candidate_ids': [], 'city': 'VISALIA', 'committee_id': 'C00390641', 'committee_type': 'Y', 'committee_type_full': 'Party - Qualified', 'cycle': 2024, 'cycles': [2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024], 'cycles_has_activity': [2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024], 'cycles_has_financial': [2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024], 'designation': 'U', 'designation_full': 'Unauthorized', 'filing_frequency': 'M', 'first_f1_date': '2003-09-29', 'first_file_date': '2003-09-29', 'is_active': True, 'last_cycle_has_activity': 2024, 'last_cycle_has_financial': 2024, 'last_f1_date': '2021-11-08', 'last_file_date': '2024-09-06', 'name': 'TULARE COUNTY REPUBLICAN CENTRAL COMMITTEE (FEDERAL)', 'organization_type': None, 'organization_type_full': None, 'party': 'REP', 'party_full': 'REPUBLICAN PARTY', 'state': 'CA', 'state_full': 'California', 'street_1': '810 W MAIN STREET', 'street_2': 'SUITE B', 'treasurer_name': 'RAGAN, CRYSTAL', 'zip': '932916168'}",C00390641,,375.73,Utilities,ORG,31537.81,2024-08-28,,135.26,1814239,"{'amended_by': None, 'amendment_chain': [1814239], 'amendment_number': 0, 'amends_file': None, 'beginning_image_number': '202409069675371331', 'committee_id': 'C00390641', 'committee_name': 'TULARE COUNTY REPUBLICAN CENTRAL COMMITTEE (FEDERAL)', 'coverage_end_date': '2024-08-31', 'coverage_start_date': '2024-08-01', 'csv_url': 'https://docquery.fec.gov/csv/239/1814239.csv', 'document_description': 'SEPTEMBER MONTHLY 2024', 'ending_image_number': '202409069675371342', 'fec_file_id': 'FEC-1814239', 'fec_url': 'https://docquery.fec.gov/dcdev/posted/1814239.fec', 'file_number': 1814239, 'filed_date': '2024-09-06', 'form_type': 'F3XN', 'html_url': 'https://docquery.fec.gov/cgi-bin/forms/C00390641/1814239/', 'is_amended': False, 'load_timestamp': '2024-09-06T12:46:02', 'most_recent': True, 'most_recent_filing': 1814239, 'pdf_url': 'https://docquery.fec.gov/pdf/331/202409069675371331/202409069675371331.pdf', 'receipt_date': '2024-09-06T12:45:56'}",,,202409069675371341,2024-09-06T12:46:07,,,240.47,Rosemead,So Ca Edison Co,CA,917700600,https://docquery.fec.gov/cgi-bin/fecimg/?202409069675371341,,14,F3XN,H4-24947
Admin 2023-2024,X,A,,,"{'affiliated_committee_name': 'CALIFORNIA REPUBLICAN PARTY (FED)', 'candidate_ids': [], 'city': 'ANTIOCH', 'committee_id': 'C00136853', 'committee_type': 'Y', 'committee_type_full': 'Party - Qualified', 'cycle': 2024, 'cycles': [1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024], 'cycles_has_activity': [1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024], 'cycles_has_financial': [1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024], 'designation': 'U', 'designation_full': 'Unauthorized', 'filing_frequency': 'M', 'first_f1_date': '1980-10-10', 'first_file_date': '1980-10-10', 'is_active': True, 'last_cycle_has_activity': 2024, 'last_cycle_has_financial': 2024, 'last_f1_date': '2024-01-03', 'last_file_date': '2024-09-09', 'name': 'CONTRA COSTA REPUBLICAN PARTY (FED)', 'organization_type': None, 'organization_type_full': None, 'party': 'REP', 'party_full': 'REPUBLICAN PARTY', 'state': 'CA', 'state_full': 'California', 'street_1': '2409 COVELITE WAY', 'street_2': None, 'treasurer_name': 'NEITTE-GARCIA, PAMELA', 'zip': '94531'}",C00136853,,29.9,Office Supplies,ORG,6153.72,2024-08-28,,10.76,1814497,"{'amended_by': None, 'amendment_chain': [1814497], 'amendment_number': 0, 'amends_file': None, 'beginning_image_number': '202409099675380422', 'committee_id': 'C00136853', 'committee_name': 'CONTRA COSTA REPUBLICAN PARTY (FED)', 'coverage_end_date': '2024-08-31', 'coverage_start_date': '2024-08-01', 'csv_url': 'https://docquery.fec.gov/csv/497/1814497.csv', 'document_description': 'SEPTEMBER MONTHLY 2024', 'ending_image_number': '202409099675380445', 'fec_file_id': 'FEC-1814497', 'fec_url': 'https://docquery.fec.gov/dcdev/posted/1814497.fec', 'file_number': 1814497, 'filed_date': '2024-09-09', 'form_type': 'F3XN', 'html_url': 'https://docquery.fec.gov/cgi-bin/forms/C00136853/1814497/', 'is_amended': False, 'load_timestamp': '2024-09-09T13:02:46', 'most_recent': True, 'most_recent_filing': 1814497, 'pdf_url': 'https://docquery.fec.gov/pdf/422/202409099675380422/202409099675380422.pdf', 'receipt_date': '2024-09-09T13:02:41'}",,,202409099675380440,2024-09-09T13:02:47,,,19.14,Seattle,Amazon.com,WA,98109,https://docquery.fec.gov/cgi-bin/fecimg/?202409099675380440,,38,F3XN,H4-16522
Admin 2023-2024,X,A,,,"{'affiliated_committee_name': 'CALIFORNIA REPUBLICAN PARTY (FED)', 'candidate_ids': [], 'city': 'ANTIOCH', 'committee_id': 'C00136853', 'committee_type': 'Y', 'committee_type_full': 'Party - Qualified', 'cycle': 2024, 'cycles': [1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024], 'cycles_has_activity': [1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024], 'cycles_has_financial': [1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024], 'designation': 'U', 'designation_full': 'Unauthorized', 'filing_frequency': 'M', 'first_f1_date': '1980-10-10', 'first_file_date': '1980-10-10', 'is_active': True, 'last_cycle_has_activity': 2024, 'last_cycle_has_financial': 2024, 'last_f1_date': '2024-01-03', 'last_file_date': '2024-09-09', 'name': 'CONTRA COSTA REPUBLICAN PARTY (FED)', 'organization_type': None, 'organization_type_full': None, 'party': 'REP', 'party_full': 'REPUBLICAN PARTY', 'state': 'CA', 'state_full': 'California', 'street_1': '2409 COVELITE WAY', 'street_2': None, 'treasurer_name': 'NEITTE-GARCIA, PAMELA', 'zip': '94531'}",C00136853,,4.52,Office Supplies,ORG,6153.72,2024-08-28,,1.63,1814497,"{'amended_by': None, 'amendment_chain': [1814497], 'amendment_number': 0, 'amends_file': None, 'beginning_image_number': '202409099675380422', 'committee_id': 'C00136853', 'committee_name': 'CONTRA COSTA REPUBLICAN PARTY (FED)', 'coverage_end_date': '2024-08-31', 'coverage_start_date': '2024-08-01', 'csv_url': 'https://docquery.fec.gov/csv/497/1814497.csv', 'document_description': 'SEPTEMBER MONTHLY 2024', 'ending_image_number': '202409099675380445', 'fec_file_id': 'FEC-1814497', 'fec_url': 'https://docquery.fec.gov/dcdev/posted/1814497.fec', 'file_number': 1814497, 'filed_date': '2024-09-09', 'form_type': 'F3XN', 'html_url': 'https://docquery.fec.gov/cgi-bin/forms/C00136853/1814497/', 'is_amended': False, 'load_timestamp': '2024-09-09T13:02:46', 'most_recent': True, 'most_recent_filing': 1814497, 'pdf_url': 'https://docquery.fec.gov/pdf/422/202409099675380422/202409099675380422.pdf', 'receipt_date': '2024-09-09T13:02:41'}",,,202409099675380440,2024-09-09T13:02:47,,,2.89,Seattle,Amazon.com,WA,98109,https://docquery.fec.gov/cgi-bin/fecimg/?202409099675380440,,37,F3XN,H4-16521
36/64 Admin,X,A,,,"{'affiliated_committee_name': 'CALIFORNIA REPUBLICAN PARTY - FEDERAL', 'candidate_ids': [], 'city': 'VISALIA', 'committee_id': 'C00390641', 'committee_type': 'Y', 'committee_type_full': 'Party - Qualified', 'cycle': 2024, 'cycles': [2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024], 'cycles_has_activity': [2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024], 'cycles_has_financial': [2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024], 'designation': 'U', 'designation_full': 'Unauthorized', 'filing_frequency': 'M', 'first_f1_date': '2003-09-29', 'first_file_date': '2003-09-29', 'is_active': True, 'last_cycle_has_activity': 2024, 'last_cycle_has_financial': 2024, 'last_f1_date': '2021-11-08', 'last_file_date': '2024-09-06', 'name': 'TULARE COUNTY REPUBLICAN CENTRAL COMMITTEE (FEDERAL)', 'organization_type': None, 'organization_type_full': None, 'party': 'REP', 'party_full': 'REPUBLICAN PARTY', 'state': 'CA', 'state_full': 'California', 'street_1': '810 W MAIN STREET', 'street_2': 'SUITE B', 'treasurer_name': 'RAGAN, CRYSTAL', 'zip': '932916168'}",C00390641,,356.0,Administrative Staff-less than 25%FEA,IND,30014.46,2024-08-27,,128.16,1814239,"{'amended_by': None, 'amendment_chain': [1814239], 'amendment_number': 0, 'amends_file': None, 'beginning_image_number': '202409069675371331', 'committee_id': 'C00390641', 'committee_name': 'TULARE COUNTY REPUBLICAN CENTRAL COMMITTEE (FEDERAL)', 'coverage_end_date': '2024-08-31', 'coverage_start_date': '2024-08-01', 'csv_url': 'https://docquery.fec.gov/csv/239/1814239.csv', 'document_description': 'SEPTEMBER MONTHLY 2024', 'ending_image_number': '202409069675371342', 'fec_file_id': 'FEC-1814239', 'fec_url': 'https://docquery.fec.gov/dcdev/posted/1814239.fec', 'file_number': 1814239, 'filed_date': '2024-09-06', 'form_type': 'F3XN', 'html_url': 'https://docquery.fec.gov/cgi-bin/forms/C00390641/1814239/', 'is_amended': False, 'load_timestamp': '2024-09-06T12:46:02', 'most_recent': True, 'most_recent_filing': 1814239, 'pdf_url': 'https://docquery.fec.gov/pdf/331/202409069675371331/202409069675371331.pdf', 'receipt_date': '2024-09-06T12:45:56'}",,,202409069675371340,2024-09-06T12:46:07,,,227.84,Visalia,Berry,CA,93278,https://docquery.fec.gov/cgi-bin/fecimg/?202409069675371340,,11,F3XN,H4-24951
Admin 2023-2024,X,A,,,"{'affiliated_committee_name': 'CALIFORNIA REPUBLICAN PARTY (FED)', 'candidate_ids': [], 'city': 'ANTIOCH', 'committee_id': 'C00136853', 'committee_type': 'Y', 'committee_type_full': 'Party - Qualified', 'cycle': 2024, 'cycles': [1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024], 'cycles_has_activity': [1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024], 'cycles_has_financial': [1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024], 'designation': 'U', 'designation_full': 'Unauthorized', 'filing_frequency': 'M', 'first_f1_date': '1980-10-10', 'first_file_date': '1980-10-10', 'is_active': True, 'last_cycle_has_activity': 2024, 'last_cycle_has_financial': 2024, 'last_f1_date': '2024-01-03', 'last_file_date': '2024-09-09', 'name': 'CONTRA COSTA REPUBLICAN PARTY (FED)', 'organization_type': None, 'organization_type_full': None, 'party': 'REP', 'party_full': 'REPUBLICAN PARTY', 'state': 'CA', 'state_full': 'California', 'street_1': '2409 COVELITE WAY', 'street_2': None, 'treasurer_name': 'NEITTE-GARCIA, PAMELA', 'zip': '94531'}",C00136853,,23.66,Credit Card Fees,ORG,6103.22,2024-08-27,,8.52,1814497,"{'amended_by': None, 'amendment_chain': [1814497], 'amendment_number': 0, 'amends_file': None, 'beginning_image_number': '202409099675380422', 'committee_id': 'C00136853', 'committee_name': 'CONTRA COSTA REPUBLICAN PARTY (FED)', 'coverage_end_date': '2024-08-31', 'coverage_start_date': '2024-08-01', 'csv_url': 'https://docquery.fec.gov/csv/497/1814497.csv', 'document_description': 'SEPTEMBER MONTHLY 2024', 'ending_image_number': '202409099675380445', 'fec_file_id': 'FEC-1814497', 'fec_url': 'https://docquery.fec.gov/dcdev/posted/1814497.fec', 'file_number': 1814497, 'filed_date': '2024-09-09', 'form_type': 'F3XN', 'html_url': 'https://docquery.fec.gov/cgi-bin/forms/C00136853/1814497/', 'is_amended': False, 'load_timestamp': '2024-09-09T13:02:46', 'most_recent': True, 'most_recent_filing': 1814497, 'pdf_url': 'https://docquery.fec.gov/pdf/422/202409099675380422/202409099675380422.pdf', 'receipt_date': '2024-09-09T13:02:41'}",,,202409099675380443,2024-09-09T13:02:47,,,15.14,New Orleans,Anedot,LA,70112,https://docquery.fec.gov/cgi-bin/fecimg/?202409099675380443,,48,F3XN,H4-16507
