additional_bank_names,amendment_chain,amendment_indicator,amendment_version,bank_depository_city,bank_depository_name,bank_depository_state,bank_depository_street_1,bank_depository_street_2,bank_depository_zip,beginning_image_number,candidate_id,candidate_name,cash_on_hand_beginning_period,cash_on_hand_end_period,committee_id,committee_name,committee_type,coverage_end_date,coverage_start_date,csv_url,cycle,debts_owed_by_committee,debts_owed_to_committee,document_description,document_type,document_type_full,election_year,ending_image_number,fec_file_id,fec_url,file_number,form_category,form_type,house_personal_funds,html_url,is_amended,means_filed,most_recent,most_recent_file_number,net_donations,office,opposition_personal_funds,pages,party,pdf_url,previous_file_number,primary_general_indicator,receipt_date,report_type,report_type_full,report_year,request_type,senate_personal_funds,state,sub_id,total_communication_cost,total_disbursements,total_independent_expenditures,total_individual_contributions,total_receipts,treasurer_name,update_date
,,N,,,,,,,,11030582315,,,221.19,67.47,C00461426,ANGELS FOR JOHN GAY,H,2010-12-31,2010-10-01,https://docquery.fec.gov/csv/559/720559.csv,2010,2250.0,0.0,YEAR-END 2010,,,,,FEC-720559,https://docquery.fec.gov/paper/posted/720559.fec,720559.0,REPORT,F3,,https://docquery.fec.gov/cgi-bin/paper_forms/C00461426/720559/,,paper,True,720559.0,,H,,,,https://docquery.fec.gov/pdf/315/11030582315/11030582315.pdf,,P,,YE,YEAR-END,2010,,,,1032420110005517191,,153.72,,,0.0,"RUFFIN, MARY ELAINE",2016-11-02
,,A,,,,,,,,12030782567,,,28.96,389.73,C00483529,JOEL BALAM FOR CONGRESS COMMITTEE,H,2012-03-31,2012-01-01,https://docquery.fec.gov/csv/936/783936.csv,2012,,,APRIL QUARTERLY 2012,,,,,FEC-783936,https://docquery.fec.gov/paper/posted/783936.fec,783936.0,REPORT,F3,,https://docquery.fec.gov/cgi-bin/paper_forms/C00483529/783936/,,paper,True,783936.0,,H,,,,https://docquery.fec.gov/pdf/567/12030782567/12030782567.pdf,,P,,Q1,APRIL QUARTERLY,2012,,,,1043020120009794004,,473.23,,,834.0,"HANNEY, JERE A",2016-11-02
,,A,,,,,,,,14031331947,,,4684.89,5857.98,C00564831,REDPATH FOR CONGRESS,H,2014-10-15,2014-10-01,https://docquery.fec.gov/csv/204/993204.csv,2014,0.0,0.0,PRE-GENERAL 2014,,,,,FEC-993204,https://docquery.fec.gov/paper/posted/993204.fec,993204.0,REPORT,F3,,https://docquery.fec.gov/cgi-bin/paper_forms/C00564831/993204/,,paper,True,993204.0,,H,,,,https://docquery.fec.gov/pdf/947/14031331947/14031331947.pdf,,P,,12G,PRE-GENERAL,2014,,,,1102920140016261896,,151.91,,,1325.0,"REDPATH, WILLIAM B",2016-11-02
,,N,,,,,,,,201607070300079694,,,,,C70001227,CALIFORNIA TEACHERS ASSOCIATION,C,2016-06-30,2016-05-19,https://docquery.fec.gov/csv/800/1081800.csv,2016,,,JULY QUARTERLY 2016,,,,201607070300079697,FEC-1081800,https://docquery.fec.gov/paper/posted/1081800.fec,1081800.0,REPORT,F7,,https://docquery.fec.gov/cgi-bin/paper_forms/C70001227/1081800/,,paper,True,1081800.0,,,,4.0,,https://docquery.fec.gov/pdf/694/201607070300079694/201607070300079694.pdf,,P,,Q2,JULY QUARTERLY,2016,,,,1070720160028265397,72257.0,,,,,DAVID B GOLDBERG,2016-07-13
,,N,,,,,,,,201607070300079703,,,,,C70003165,TEXAS FARM BUREAU,C,2016-06-30,2016-04-01,https://docquery.fec.gov/csv/726/1081726.csv,2016,,,JULY QUARTERLY 2016,,,,201607070300079705,FEC-1081726,https://docquery.fec.gov/paper/posted/1081726.fec,1081726.0,REPORT,F7,,https://docquery.fec.gov/cgi-bin/paper_forms/C70003165/1081726/,,paper,True,1081726.0,,,,3.0,,https://docquery.fec.gov/pdf/703/201607070300079703/201607070300079703.pdf,,P,,Q2,JULY QUARTERLY,2016,,,,1070720160028265398,7915.0,,,,,SI E COOK,2016-07-13
,,N,,,,,,,,11030582315,,,221.19,67.47,C00461426,ANGELS FOR JOHN GAY,H,2010-12-31,2010-10-01,https://docquery.fec.gov/csv/559/720559.csv,2010,2250.0,0.0,YEAR-END 2010,,,,,FEC-720559,https://docquery.fec.gov/paper/posted/720559.fec,720559.0,REPORT,F3,,https://docquery.fec.gov/cgi-bin/paper_forms/C00461426/720559/,,paper,False,,,H,,,,https://docquery.fec.gov/pdf/315/11030582315/11030582315.pdf,,P,,YE,YEAR-END,2010,,,,1031820110005483294,,153.72,,,0.0,"RUFFIN, MARY ELAINE",2016-11-02
,,N,,,,,,,,10030483207,,,366.41,221.19,C00461426,ANGELS FOR JOHN GAY,H,2010-09-30,2010-07-01,https://docquery.fec.gov/csv/895/718895.csv,2010,2250.0,0.0,OCTOBER QUARTERLY 2010,,,,,FEC-718895,https://docquery.fec.gov/paper/posted/718895.fec,718895.0,REPORT,F3,,https://docquery.fec.gov/cgi-bin/paper_forms/C00461426/718895/,,paper,True,718895.0,,H,,,,https://docquery.fec.gov/pdf/207/10030483207/10030483207.pdf,,P,,Q3,OCTOBER QUARTERLY,2010,,,,1110820100004848256,,145.22,,,0.0,"RUFFIN, MARY ELAINE",2016-11-02
,,N,,,,,,,,13031062016,,,94.47,45.04,C00450015,FRIENDS OF LEE FERRELL,H,2013-03-31,2013-01-01,https://docquery.fec.gov/csv/438/870438.csv,2014,6550.0,,APRIL QUARTERLY 2013,,,,13031062020,FEC-870438,https://docquery.fec.gov/paper/posted/870438.fec,870438.0,REPORT,F3,,https://docquery.fec.gov/cgi-bin/paper_forms/C00450015/870438/,,paper,False,,,H,,5.0,,https://docquery.fec.gov/pdf/016/13031062016/13031062016.pdf,,P,,Q1,APRIL QUARTERLY,2013,,,,1050120130013867814,,,,,,"COATES, LARA",2016-11-02
,,A,,,,,,,,82032433923,,,,,C00123117,UNITED ASSN OF JOURNEYMEN & APPRETICES PLUMBING & PIPEFITTING LOCAL 630 PAC,Q,1981-12-01,,,1982,,,YEAR-END 1981,,,,82032433930,,,,REPORT,F3X,,,,paper,True,,,,,8.0,,,,P,,YE,YEAR-END,1981,,,,3032920021022461407,,,,,,,2002-03-30
,,N,,,,,,,,12030703229,,,235.0,235.0,C00465294,CHANGE FOR THE BETTER,N,2011-12-31,2011-12-01,https://docquery.fec.gov/csv/677/758677.csv,2012,0.0,0.0,YEAR-END 2011,,,,12030703234,FEC-758677,https://docquery.fec.gov/paper/posted/758677.fec,758677.0,REPORT,F3X,,https://docquery.fec.gov/cgi-bin/paper_forms/C00465294/758677/,,paper,True,758677.0,,,,6.0,,https://docquery.fec.gov/pdf/229/12030703229/12030703229.pdf,-787850.0,P,,YE,YEAR-END,2011,,,,1011120120009257265,,0.0,,,0.0,"WELBORN, NOLAN P",2012-01-20
,,A,,,,,,,,12020164867,,,101291.48,98445.4,C00461368,BUCK FOR COLORADO,S,2011-09-30,2011-07-01,https://docquery.fec.gov/csv/060/768060.csv,2012,,,OCTOBER QUARTERLY 2011,,,,,FEC-768060,https://docquery.fec.gov/paper/posted/768060.fec,768060.0,REPORT,F3,,https://docquery.fec.gov/cgi-bin/paper_forms/C00461368/768060/,,paper,True,768060.0,,S,,,,https://docquery.fec.gov/pdf/867/12020164867/12020164867.pdf,,P,,Q3,OCTOBER QUARTERLY,2011,,,,1022420120009458458,,3031.27,,,185.19,"KLEIN, CHERYL DEPUTY TRE",2016-11-02
,,,0.0,,,,,,,201803220300001361,,,,,C00637785,D.D. ADAMS FOR CONGRESS,H,2017-09-30,2017-07-01,,2018,,,RFAI: OCTOBER QUARTERLY 2017,,,,201803220300001363,,,,OTHER,FRQ,,,False,paper,True,,,H,,3.0,,https://docquery.fec.gov/pdf/361/201803220300001361/201803220300001361.pdf,0.0,,,Q3,OCTOBER QUARTERLY,2017,2,,,1032220180036341892,,,,,,,2018-03-22
,,N,,,,,,,,14031332443,,,0.0,0.0,C00567461,DOUTHITT FOR CONGRESS,H,2014-10-15,2014-05-30,https://docquery.fec.gov/csv/909/987909.csv,2014,0.0,0.0,OCTOBER QUARTERLY 2014,,,,,FEC-987909,https://docquery.fec.gov/paper/posted/987909.fec,987909.0,REPORT,F3,,https://docquery.fec.gov/cgi-bin/paper_forms/C00567461/987909/,,paper,True,987909.0,,H,,,,https://docquery.fec.gov/pdf/443/14031332443/14031332443.pdf,,P,,Q3,OCTOBER QUARTERLY,2014,,,,1103020140016264588,,0.0,,,0.0,"DOUTHITT, SHARON E",2016-11-02
,,A,,,,,,,,10020412146,,,0.0,0.0,C00467761,SUE LOWDEN FOR U S SENATE,S,2010-03-31,2010-01-01,https://docquery.fec.gov/csv/522/732522.csv,2010,0.0,0.0,APRIL QUARTERLY 2010,,,,,FEC-732522,https://docquery.fec.gov/paper/posted/732522.fec,732522.0,REPORT,F3,,https://docquery.fec.gov/cgi-bin/paper_forms/C00467761/732522/,,paper,True,732522.0,,S,,,,https://docquery.fec.gov/pdf/146/10020412146/10020412146.pdf,,P,,Q1,APRIL QUARTERLY,2010,,,,1062320100004347863,,0.0,,,0.0,"BEERS, BOB",2016-11-02
,,N,,,,,,,,202401220300458323,,,2145.86,3336.86,C00398255,AIKEN ELECTRIC COOPERATIVE INC PAC,Q,2023-12-31,2023-07-01,https://docquery.fec.gov/csv/648/1746648.csv,2024,0.0,0.0,YEAR-END 2023,,,,202401220300458345,FEC-1746648,https://docquery.fec.gov/paper/posted/1746648.fec,1746648.0,REPORT,F3X,,https://docquery.fec.gov/cgi-bin/paper_forms/C00398255/1746648/,,paper,True,1746648.0,,,,23.0,,https://docquery.fec.gov/pdf/323/202401220300458323/202401220300458323.pdf,-1115713.0,P,2024-12-22T00:00:00,YE,YEAR-END,2023,,,,1012220240265331230,,8295.0,,,9486.0,"COLLINS, APRIL M",2024-01-29
,[1818191],N,0.0,ATTICA,SUTTON BANK,OH,P.O. BOX 505,,44807,202409219684674163,,,,,C00889683,THE HIP HOP SUPER PAC,O,,,https://docquery.fec.gov/csv/191/1818191.csv,2024,,,Statement of Organization 2024,,,,202409219684674166,FEC-1818191,https://docquery.fec.gov/dcdev/posted/1818191.fec,1818191.0,STATEMENT,F1,,https://docquery.fec.gov/cgi-bin/forms/C00889683/1818191/,False,e-file,True,1818191.0,,,,4.0,,https://docquery.fec.gov/pdf/163/202409219684674163/202409219684674163.pdf,1818191.0,,2024-09-21T00:00:00,,,2024,,,,4092120242041241009,,,,,,"CLOVER, FRANKLIN",2024-09-21
,"[1555223, 1587481, 1763896, 1811570, 1811596, 1818189]",A,5.0,GROSSE POINTE WOOD,COMERICA,MI,21303 MACK AVE,,48236,202409219684674157,,,,,C00800169,ADAM DUNN TO SET PRECEDENT.,P,,,https://docquery.fec.gov/csv/189/1818189.csv,2024,,,Statement of Organization 2024,,,,202409219684674160,FEC-1818189,https://docquery.fec.gov/dcdev/posted/1818189.fec,1818189.0,STATEMENT,F1,,https://docquery.fec.gov/cgi-bin/forms/C00800169/1818189/,False,e-file,True,1818189.0,,P,,4.0,,https://docquery.fec.gov/pdf/157/202409219684674157/202409219684674157.pdf,1811596.0,,2024-09-21T00:00:00,,,2024,,,,4092120242041241008,,,,,,"DUNN, ADAM",2024-09-21
,"[1811107, 1811109, 1818168]",A,2.0,,,,,,,202409219684673825,,,2765.93,2874.59,C00836866,VOTERS DESERVE BETTER,O,2024-07-31,2024-07-01,https://docquery.fec.gov/csv/168/1818168.csv,2024,8179.27,0.0,AUGUST MONTHLY 2024,,,,202409219684673837,FEC-1818168,https://docquery.fec.gov/dcdev/posted/1818168.fec,1818168.0,REPORT,F3X,,https://docquery.fec.gov/cgi-bin/forms/C00836866/1818168/,False,e-file,True,1818168.0,,,,13.0,,https://docquery.fec.gov/pdf/825/202409219684673825/202409219684673825.pdf,1811109.0,P,2024-09-21T00:00:00,M8,AUGUST MONTHLY,2024,,,,4092120242041246119,,311.34,,,420.0,"COPP, VONA L.",2024-09-21
,[1818192],N,0.0,,,,,,,202409219684674167,,,,,C00786830,WELCOMEPAC,W,,,https://docquery.fec.gov/csv/192/1818192.csv,2024,,,48-HOUR REPORT OF INDEPENDENT EXPENDITURES 2024,,,,202409219684674168,FEC-1818192,https://docquery.fec.gov/dcdev/posted/1818192.fec,1818192.0,NOTICE,F24,,https://docquery.fec.gov/cgi-bin/forms/C00786830/1818192/,False,e-file,True,1818192.0,,,,2.0,,https://docquery.fec.gov/pdf/167/202409219684674167/202409219684674167.pdf,1818192.0,,2024-09-21T00:00:00,48,48-HOUR REPORT OF INDEPENDENT EXPENDITURES,2024,,,,4092120242041245023,,,,,,"WYATT, NAOMI",2024-09-21
,[1818175],N,0.0,,,,,,,202409219684674086,,,774.41,774.41,C00556258,SEE CHANGE PAC,V,2024-08-31,2024-08-01,https://docquery.fec.gov/csv/175/1818175.csv,2024,0.0,0.0,SEPTEMBER MONTHLY 2024,,,,202409219684674090,FEC-1818175,https://docquery.fec.gov/dcdev/posted/1818175.fec,1818175.0,REPORT,F3X,,https://docquery.fec.gov/cgi-bin/forms/C00556258/1818175/,False,e-file,True,1818175.0,,,,5.0,,https://docquery.fec.gov/pdf/086/202409219684674086/202409219684674086.pdf,1818175.0,P,2024-09-21T00:00:00,M9,SEPTEMBER MONTHLY,2024,,,,4092120242041246125,,0.0,,,0.0,"KELLY, BECKETT",2024-09-21
,[1818170],N,0.0,,,,,,,202409219684673856,,,164153.26,120738.35,C00253260,ALASKA REPUBLICAN PARTY,N,2024-08-31,2024-08-01,https://docquery.fec.gov/csv/170/1818170.csv,2024,0.0,0.0,SEPTEMBER MONTHLY 2024,,,,202409219684673940,FEC-1818170,https://docquery.fec.gov/dcdev/posted/1818170.fec,1818170.0,REPORT,F3X,,https://docquery.fec.gov/cgi-bin/forms/C00253260/1818170/,False,e-file,True,1818170.0,,,,85.0,,https://docquery.fec.gov/pdf/856/202409219684673856/202409219684673856.pdf,1818170.0,P,2024-09-21T00:00:00,M9,SEPTEMBER MONTHLY,2024,,,,4092120242041246121,,1144970.26,,,1101555.35,"FIMON, KEVIN F",2024-09-21
['CHAIN BRIDGE BANK'],"[54082, 95888, 192550, 192938, 1115379, 1119896, 1174309, 1314490, 1361372, 1405726, 1432942, 1440313, 1441455, 1445062, 1460703, 1463875, 1468036, 1505629, 1783875, 1818171]",A,19.0,ANCHORAGE,FIRST NATIONAL BANK ALASKA,AK,201 W 36TH AVE,,99503,202409219684673941,,,,,C00253260,ALASKA REPUBLICAN PARTY,N,,,https://docquery.fec.gov/csv/171/1818171.csv,2024,,,Statement of Organization 2024,,,,202409219684673944,FEC-1818171,https://docquery.fec.gov/dcdev/posted/1818171.fec,1818171.0,STATEMENT,F1,,https://docquery.fec.gov/cgi-bin/forms/C00253260/1818171/,False,e-file,True,1818171.0,,,,4.0,,https://docquery.fec.gov/pdf/941/202409219684673941/202409219684673941.pdf,1783875.0,,2024-09-21T00:00:00,,,2024,,,,4092120242041241006,,,,,,"FIMON, KEVIN F",2024-09-21
,[1818194],N,0.0,,,,,,,202409219684674170,,,941457.63,930939.24,C00227744,ERNST & YOUNG POLITICAL ACTION COMMITTEE,Q,2024-08-31,2024-08-01,https://docquery.fec.gov/csv/194/1818194.csv,2024,0.0,0.0,SEPTEMBER MONTHLY 2024,,,,202409219684674177,FEC-1818194,https://docquery.fec.gov/dcdev/posted/1818194.fec,1818194.0,REPORT,F3X,,https://docquery.fec.gov/cgi-bin/forms/C00227744/1818194/,False,e-file,True,1818194.0,,,,8.0,,https://docquery.fec.gov/pdf/170/202409219684674170/202409219684674170.pdf,1818194.0,P,2024-09-21T00:00:00,M9,SEPTEMBER MONTHLY,2024,,,,4092120242041246127,,10518.39,,,0.0,"BUNCH, DEAN",2024-09-21
,[1818178],N,0.0,,,,,,,202409219684674104,,,16969.66,8028.91,C00655423,BRIDGE THE GAP PAC,Q,2024-08-31,2024-08-01,https://docquery.fec.gov/csv/178/1818178.csv,2024,0.0,0.0,SEPTEMBER MONTHLY 2024,,,,202409219684674114,FEC-1818178,https://docquery.fec.gov/dcdev/posted/1818178.fec,1818178.0,REPORT,F3X,,https://docquery.fec.gov/cgi-bin/forms/C00655423/1818178/,False,e-file,True,1818178.0,,,,11.0,,https://docquery.fec.gov/pdf/104/202409219684674104/202409219684674104.pdf,1818178.0,P,2024-09-21T00:00:00,M9,SEPTEMBER MONTHLY,2024,,,,4092120242041246126,,13940.75,,,5000.0,"KARTON, DEBORAH",2024-09-21
,[1818186],N,0.0,,,,,,,202409219684674145,,,,,C00075820,NRCC,Y,,,https://docquery.fec.gov/csv/186/1818186.csv,2024,,,48-HOUR REPORT OF INDEPENDENT EXPENDITURES 2024,,,,202409219684674148,FEC-1818186,https://docquery.fec.gov/dcdev/posted/1818186.fec,1818186.0,NOTICE,F24,,https://docquery.fec.gov/cgi-bin/forms/C00075820/1818186/,False,e-file,True,1818186.0,,,,4.0,,https://docquery.fec.gov/pdf/145/202409219684674145/202409219684674145.pdf,1818186.0,,2024-09-21T00:00:00,48,48-HOUR REPORT OF INDEPENDENT EXPENDITURES,2024,,,,4092120242041245021,,,,,,"DAVIS, KEITH A.",2024-09-21
,[1818172],N,0.0,,,,,,,202409219684673945,,,431481.28,314095.8,C00033134,COLORADO REPUBLICAN COMMITTEE,Y,2024-08-31,2024-08-01,https://docquery.fec.gov/csv/172/1818172.csv,2024,0.0,0.0,SEPTEMBER MONTHLY 2024,,,,202409219684674007,FEC-1818172,https://docquery.fec.gov/dcdev/posted/1818172.fec,1818172.0,REPORT,F3X,,https://docquery.fec.gov/cgi-bin/forms/C00033134/1818172/,True,e-file,False,1818173.0,,,,63.0,,https://docquery.fec.gov/pdf/945/202409219684673945/202409219684673945.pdf,1818172.0,P,2024-09-21T00:00:00,M9,SEPTEMBER MONTHLY,2024,,,,4092120242041246122,,143889.03,,,26503.55,"BJORKLUND, TOM",2024-09-21
,[1818179],N,0.0,,,,,,,202409219684674115,,,,,C90016510,PLANNED PARENTHOOD ADVOCATES OF WISCONSIN POLITICAL FUND,I,,,https://docquery.fec.gov/csv/179/1818179.csv,2024,,,48-HOUR REPORT OF INDEPENDENT EXPENDITURES 2024,,,,202409219684674121,FEC-1818179,https://docquery.fec.gov/dcdev/posted/1818179.fec,1818179.0,NOTICE,F5,,https://docquery.fec.gov/cgi-bin/forms/C90016510/1818179/,False,e-file,,1818179.0,,,,7.0,,https://docquery.fec.gov/pdf/115/202409219684674115/202409219684674115.pdf,1818179.0,P,2024-09-21T00:00:00,48,48-HOUR REPORT OF INDEPENDENT EXPENDITURES,2024,,,,4092120242041248002,,,20000.0,0.0,,"VELASQUEZ, MICHELLE",2024-09-21
,[1818180],N,0.0,,,,,,,202409219684674122,,,,,C90016510,PLANNED PARENTHOOD ADVOCATES OF WISCONSIN POLITICAL FUND,I,,,https://docquery.fec.gov/csv/180/1818180.csv,2024,,,48-HOUR REPORT OF INDEPENDENT EXPENDITURES 2024,,,,202409219684674125,FEC-1818180,https://docquery.fec.gov/dcdev/posted/1818180.fec,1818180.0,NOTICE,F5,,https://docquery.fec.gov/cgi-bin/forms/C90016510/1818180/,False,e-file,,1818180.0,,,,4.0,,https://docquery.fec.gov/pdf/122/202409219684674122/202409219684674122.pdf,1818180.0,P,2024-09-21T00:00:00,48,48-HOUR REPORT OF INDEPENDENT EXPENDITURES,2024,,,,4092120242041248003,,,105580.0,0.0,,"VELASQUEZ, MICHELLE",2024-09-21
,[1818181],T,0.0,,,,,,,202409219684674126,,,8433.35,0.0,C00879577,WIN SENATE PA & WI,S,2024-09-21,2024-07-01,https://docquery.fec.gov/csv/181/1818181.csv,2024,0.0,0.0,TERMINATION REPORT 2024,,,,202409219684674133,FEC-1818181,https://docquery.fec.gov/dcdev/posted/1818181.fec,1818181.0,REPORT,F3,,https://docquery.fec.gov/cgi-bin/forms/C00879577/1818181/,False,e-file,True,1818181.0,,S,,8.0,,https://docquery.fec.gov/pdf/126/202409219684674126/202409219684674126.pdf,1818181.0,P,2024-09-21T00:00:00,TER,TERMINATION REPORT,2024,,,,4092120242041243002,,11949.0,,,3515.65,"ZAMORE, JUDITH",2024-09-21
,[1818193],N,0.0,,,,,,,202409219684674169,,,,,C00725820,THE LINCOLN PROJECT,V,,,https://docquery.fec.gov/csv/193/1818193.csv,2024,,,48-HOUR REPORT OF INDEPENDENT EXPENDITURES 2024,,,,202409219684674169,FEC-1818193,https://docquery.fec.gov/dcdev/posted/1818193.fec,1818193.0,NOTICE,F24,,https://docquery.fec.gov/cgi-bin/forms/C00725820/1818193/,False,e-file,True,1818193.0,,,,1.0,,https://docquery.fec.gov/pdf/169/202409219684674169/202409219684674169.pdf,1818193.0,,2024-09-21T00:00:00,48,48-HOUR REPORT OF INDEPENDENT EXPENDITURES,2024,,,,4092120242041245024,,,,,,"DEWAR, CLAIRE",2024-09-21
,[1818182],N,0.0,,,,,,,202409219684674134,,,,,C00807321,PROJECT DEMOCRACY,V,,,https://docquery.fec.gov/csv/182/1818182.csv,2024,,,48-HOUR REPORT OF INDEPENDENT EXPENDITURES 2024,,,,202409219684674135,FEC-1818182,https://docquery.fec.gov/dcdev/posted/1818182.fec,1818182.0,NOTICE,F24,,https://docquery.fec.gov/cgi-bin/forms/C00807321/1818182/,False,e-file,True,1818182.0,,,,2.0,,https://docquery.fec.gov/pdf/134/202409219684674134/202409219684674134.pdf,1818182.0,,2024-09-21T00:00:00,48,48-HOUR REPORT OF INDEPENDENT EXPENDITURES,2024,,,,4092120242041245017,,,,,,"MURRAY, ALLISON",2024-09-21
