activity_or_event,administrative_activity_indicator,administrative_voter_drive_activity_indicator,committee,committee_id,cycle,direct_candidate_support_activity_indicator,disbursement_amount,disbursement_purpose,event_amount_year_to_date,event_purpose_date,exempt_activity_indicator,federal_share,file_number,filing_form,form_line_number,fundraising_activity_indicator,general_voter_drive_activity_indicator,image_number,line_number,link_id,memo_code,memo_text,nonfederal_share,original_sub_id,payee_city,payee_name,payee_state,payee_street_1,payee_street_2,payee_zip,pdf_url,public_comm_indicator,report_type,report_year,schedule_type,schedule_type_full,spender_committee_designation,spender_committee_name,spender_committee_type,sub_id,transaction_id
,X,,"{'affiliated_committee_name': ""EMILY'S LIST WOMEN VOTE"", 'candidate_ids': [], 'city': 'WASHINGTON', 'committee_id': 'C00193433', 'committee_type': 'Q', 'committee_type_full': 'PAC - Qualified', 'cycle': 2010, 'cycles': [1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024], 'cycles_has_activity': [1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024], 'cycles_has_financial': [1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024], 'designation': 'U', 'designation_full': 'Unauthorized', 'filing_frequency': 'M', 'first_f1_date': '1984-12-31', 'first_file_date': '1984-12-31', 'is_active': True, 'last_cycle_has_activity': 2024, 'last_cycle_has_financial': 2024, 'last_f1_date': '2024-02-07', 'last_file_date': '2024-08-17', 'name': ""EMILY'S LIST"", 'organization_type': None, 'organization_type_full': None, 'party': None, 'party_full': None, 'state': 'DC', 'state_full': 'District Of Columbia', 'street_1': '1120 CONNECTICUT AVENUE NW', 'street_2': 'STE 1100', 'treasurer_name': 'COOPER, RANNY MS.', 'zip': '20036'}",C00193433,2010,,95.99,OFFICE SUPPLIES EXPENSES,,,,47.99,408127.0,F3X,F3X-21A,,,29991764411,21A,4031820091111270253,X,MEMO ENTRY,48.0,,SEATTLE,AMAZON. COM,WA,1516 2ND AVE,,98101,https://docquery.fec.gov/cgi-bin/fecimg/?29991764411,,M3,2009,H4,JOINT FEDERAL/NON-FEDERAL ACTIVITY,U,EMILY'S LIST,Q,4032020091112107203,H4-126966-10000
,X,,"{'affiliated_committee_name': ""EMILY'S LIST WOMEN VOTE"", 'candidate_ids': [], 'city': 'WASHINGTON', 'committee_id': 'C00193433', 'committee_type': 'Q', 'committee_type_full': 'PAC - Qualified', 'cycle': 2010, 'cycles': [1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024], 'cycles_has_activity': [1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024], 'cycles_has_financial': [1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024], 'designation': 'U', 'designation_full': 'Unauthorized', 'filing_frequency': 'M', 'first_f1_date': '1984-12-31', 'first_file_date': '1984-12-31', 'is_active': True, 'last_cycle_has_activity': 2024, 'last_cycle_has_financial': 2024, 'last_f1_date': '2024-02-07', 'last_file_date': '2024-08-17', 'name': ""EMILY'S LIST"", 'organization_type': None, 'organization_type_full': None, 'party': None, 'party_full': None, 'state': 'DC', 'state_full': 'District Of Columbia', 'street_1': '1120 CONNECTICUT AVENUE NW', 'street_2': 'STE 1100', 'treasurer_name': 'COOPER, RANNY MS.', 'zip': '20036'}",C00193433,2010,,13.74,TELEPHONE,,,,6.87,408127.0,F3X,F3X-21A,,,29991764411,21A,4031820091111270253,X,MEMO ENTRY,6.9,,LEHIGH VALLEY,VERIZON WIRELESS,PA,PO BOX 25505,,180025505,https://docquery.fec.gov/cgi-bin/fecimg/?29991764411,,M3,2009,H4,JOINT FEDERAL/NON-FEDERAL ACTIVITY,U,EMILY'S LIST,Q,4032020091112107201,H4-126965-20000
,X,,"{'affiliated_committee_name': ""EMILY'S LIST WOMEN VOTE"", 'candidate_ids': [], 'city': 'WASHINGTON', 'committee_id': 'C00193433', 'committee_type': 'Q', 'committee_type_full': 'PAC - Qualified', 'cycle': 2010, 'cycles': [1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024], 'cycles_has_activity': [1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024], 'cycles_has_financial': [1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024], 'designation': 'U', 'designation_full': 'Unauthorized', 'filing_frequency': 'M', 'first_f1_date': '1984-12-31', 'first_file_date': '1984-12-31', 'is_active': True, 'last_cycle_has_activity': 2024, 'last_cycle_has_financial': 2024, 'last_f1_date': '2024-02-07', 'last_file_date': '2024-08-17', 'name': ""EMILY'S LIST"", 'organization_type': None, 'organization_type_full': None, 'party': None, 'party_full': None, 'state': 'DC', 'state_full': 'District Of Columbia', 'street_1': '1120 CONNECTICUT AVENUE NW', 'street_2': 'STE 1100', 'treasurer_name': 'COOPER, RANNY MS.', 'zip': '20036'}",C00193433,2010,,114.0,TELEPHONE,,,,57.0,408127.0,F3X,F3X-21A,,,29991764410,21A,4031820091111270253,X,MEMO ENTRY,57.0,,MARGATE,AMERICAN CALL CENTER,FL,348 S STATE RD 7,,33068,https://docquery.fec.gov/cgi-bin/fecimg/?29991764410,,M3,2009,H4,JOINT FEDERAL/NON-FEDERAL ACTIVITY,U,EMILY'S LIST,Q,4032020091112107200,H4-126965-10000
,X,,"{'affiliated_committee_name': ""EMILY'S LIST WOMEN VOTE"", 'candidate_ids': [], 'city': 'WASHINGTON', 'committee_id': 'C00193433', 'committee_type': 'Q', 'committee_type_full': 'PAC - Qualified', 'cycle': 2010, 'cycles': [1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024], 'cycles_has_activity': [1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024], 'cycles_has_financial': [1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024], 'designation': 'U', 'designation_full': 'Unauthorized', 'filing_frequency': 'M', 'first_f1_date': '1984-12-31', 'first_file_date': '1984-12-31', 'is_active': True, 'last_cycle_has_activity': 2024, 'last_cycle_has_financial': 2024, 'last_f1_date': '2024-02-07', 'last_file_date': '2024-08-17', 'name': ""EMILY'S LIST"", 'organization_type': None, 'organization_type_full': None, 'party': None, 'party_full': None, 'state': 'DC', 'state_full': 'District Of Columbia', 'street_1': '1120 CONNECTICUT AVENUE NW', 'street_2': 'STE 1100', 'treasurer_name': 'COOPER, RANNY MS.', 'zip': '20036'}",C00193433,2010,,26.63,COPYING/FAXING,,,,13.31,408127.0,F3X,F3X-21A,,,29991764410,21A,4031820091111270253,X,MEMO ENTRY,13.3,,WASHINGTON,LOGICLINK *HILTON WA,DC,1919 CONNECITCUT AVE NW,,20019,https://docquery.fec.gov/cgi-bin/fecimg/?29991764410,,M3,2009,H4,JOINT FEDERAL/NON-FEDERAL ACTIVITY,U,EMILY'S LIST,Q,4032020091112107198,H4-126964-20000
,X,,"{'affiliated_committee_name': ""EMILY'S LIST WOMEN VOTE"", 'candidate_ids': [], 'city': 'WASHINGTON', 'committee_id': 'C00193433', 'committee_type': 'Q', 'committee_type_full': 'PAC - Qualified', 'cycle': 2010, 'cycles': [1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024], 'cycles_has_activity': [1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024], 'cycles_has_financial': [1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024], 'designation': 'U', 'designation_full': 'Unauthorized', 'filing_frequency': 'M', 'first_f1_date': '1984-12-31', 'first_file_date': '1984-12-31', 'is_active': True, 'last_cycle_has_activity': 2024, 'last_cycle_has_financial': 2024, 'last_f1_date': '2024-02-07', 'last_file_date': '2024-08-17', 'name': ""EMILY'S LIST"", 'organization_type': None, 'organization_type_full': None, 'party': None, 'party_full': None, 'state': 'DC', 'state_full': 'District Of Columbia', 'street_1': '1120 CONNECTICUT AVENUE NW', 'street_2': 'STE 1100', 'treasurer_name': 'COOPER, RANNY MS.', 'zip': '20036'}",C00193433,2010,,8.13,COPYING/FAXING,,,,4.07,408127.0,F3X,F3X-21A,,,29991764409,21A,4031820091111270253,X,MEMO ENTRY,4.1,,PITTSBURG,FEDERAL EXPRESS,PA,P. O. BOX 371461,,152507461,https://docquery.fec.gov/cgi-bin/fecimg/?29991764409,,M3,2009,H4,JOINT FEDERAL/NON-FEDERAL ACTIVITY,U,EMILY'S LIST,Q,4032020091112107197,H4-126964-10000
,X,,"{'affiliated_committee_name': ""EMILY'S LIST WOMEN VOTE"", 'candidate_ids': [], 'city': 'WASHINGTON', 'committee_id': 'C00193433', 'committee_type': 'Q', 'committee_type_full': 'PAC - Qualified', 'cycle': 2010, 'cycles': [1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024], 'cycles_has_activity': [1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024], 'cycles_has_financial': [1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024], 'designation': 'U', 'designation_full': 'Unauthorized', 'filing_frequency': 'M', 'first_f1_date': '1984-12-31', 'first_file_date': '1984-12-31', 'is_active': True, 'last_cycle_has_activity': 2024, 'last_cycle_has_financial': 2024, 'last_f1_date': '2024-02-07', 'last_file_date': '2024-08-17', 'name': ""EMILY'S LIST"", 'organization_type': None, 'organization_type_full': None, 'party': None, 'party_full': None, 'state': 'DC', 'state_full': 'District Of Columbia', 'street_1': '1120 CONNECTICUT AVENUE NW', 'street_2': 'STE 1100', 'treasurer_name': 'COOPER, RANNY MS.', 'zip': '20036'}",C00193433,2010,,70.0,SALARIES,,,,35.0,408127.0,F3X,F3X-21A,,,29991764394,21A,4031820091111270253,X,MEMO ENTRY,35.0,,WASHINGTON,PMI MONTHLY PARKING,DC,1725 DESALES STREET NW,,20036,https://docquery.fec.gov/cgi-bin/fecimg/?29991764394,,M3,2009,H4,JOINT FEDERAL/NON-FEDERAL ACTIVITY,U,EMILY'S LIST,Q,4032020091112107152,H4-126954-10000
,X,,"{'affiliated_committee_name': ""EMILY'S LIST WOMEN VOTE"", 'candidate_ids': [], 'city': 'WASHINGTON', 'committee_id': 'C00193433', 'committee_type': 'Q', 'committee_type_full': 'PAC - Qualified', 'cycle': 2010, 'cycles': [1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024], 'cycles_has_activity': [1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024], 'cycles_has_financial': [1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024], 'designation': 'U', 'designation_full': 'Unauthorized', 'filing_frequency': 'M', 'first_f1_date': '1984-12-31', 'first_file_date': '1984-12-31', 'is_active': True, 'last_cycle_has_activity': 2024, 'last_cycle_has_financial': 2024, 'last_f1_date': '2024-02-07', 'last_file_date': '2024-08-17', 'name': ""EMILY'S LIST"", 'organization_type': None, 'organization_type_full': None, 'party': None, 'party_full': None, 'state': 'DC', 'state_full': 'District Of Columbia', 'street_1': '1120 CONNECTICUT AVENUE NW', 'street_2': 'STE 1100', 'treasurer_name': 'COOPER, RANNY MS.', 'zip': '20036'}",C00193433,2010,,23.0,TRAVEL/ACCOMMODATION /MEALS,,,,11.5,408127.0,F3X,F3X-21A,,,29991764390,21A,4031820091111270253,X,MEMO ENTRY,11.5,,WASHINGTON,DOGGETTS HILTON PARK,DC,1919 CONNECITCUT AVE NW,,20009,https://docquery.fec.gov/cgi-bin/fecimg/?29991764390,,M3,2009,H4,JOINT FEDERAL/NON-FEDERAL ACTIVITY,U,EMILY'S LIST,Q,4032020091112107138,H4-126950-10000
ADMIN,X,,"{'affiliated_committee_name': ""LA VICTORY '98"", 'candidate_ids': ['S2CA00286'], 'city': 'BURBANK', 'committee_id': 'C00323923', 'committee_type': 'Q', 'committee_type_full': 'PAC - Qualified', 'cycle': 2008, 'cycles': [1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024], 'cycles_has_activity': [1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024], 'cycles_has_financial': [1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024], 'designation': 'J', 'designation_full': 'Joint fundraising committee', 'filing_frequency': 'Q', 'first_f1_date': '1996-10-15', 'first_file_date': '1996-10-15', 'is_active': True, 'last_cycle_has_activity': 2024, 'last_cycle_has_financial': 2024, 'last_f1_date': '2017-09-11', 'last_file_date': '2024-07-15', 'name': 'STONEWALL DEMOCRATIC CLUB', 'organization_type': None, 'organization_type_full': None, 'party': 'DEM', 'party_full': 'DEMOCRATIC PARTY', 'state': 'CA', 'state_full': 'California', 'street_1': '1212 S. Victory Blvd', 'street_2': None, 'treasurer_name': 'Lucas, R. Andrew', 'zip': '91502'}",C00323923,2008,,268.0,EVENT BOOTH,12312.72,,,134.0,316584.0,F3X,F3X-21A,,,28990078567,21A,4012420081083644106,X,,134.0,,NORTH HOLLYWOOD,LOS ANGELES VALLEY PRIDE,CA,PO BOX 4401,,91617,https://docquery.fec.gov/cgi-bin/fecimg/?28990078567,,YE,2007,H4,JOINT FEDERAL/NON-FEDERAL ACTIVITY,J,STONEWALL DEMOCRATIC CLUB,Q,4020420081084180158,H4S00000000000015462
ADMIN,X,,"{'affiliated_committee_name': ""LA VICTORY '98"", 'candidate_ids': ['S2CA00286'], 'city': 'BURBANK', 'committee_id': 'C00323923', 'committee_type': 'Q', 'committee_type_full': 'PAC - Qualified', 'cycle': 2008, 'cycles': [1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024], 'cycles_has_activity': [1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024], 'cycles_has_financial': [1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024], 'designation': 'J', 'designation_full': 'Joint fundraising committee', 'filing_frequency': 'Q', 'first_f1_date': '1996-10-15', 'first_file_date': '1996-10-15', 'is_active': True, 'last_cycle_has_activity': 2024, 'last_cycle_has_financial': 2024, 'last_f1_date': '2017-09-11', 'last_file_date': '2024-07-15', 'name': 'STONEWALL DEMOCRATIC CLUB', 'organization_type': None, 'organization_type_full': None, 'party': 'DEM', 'party_full': 'DEMOCRATIC PARTY', 'state': 'CA', 'state_full': 'California', 'street_1': '1212 S. Victory Blvd', 'street_2': None, 'treasurer_name': 'Lucas, R. Andrew', 'zip': '91502'}",C00323923,2008,,89.38,MEETING REFRESHMENTS,12312.72,,,44.69,316584.0,F3X,F3X-21A,,,28990078566,21A,4012420081083644106,X,,44.7,,BELLFLOWER,SMART & FINAL,CA,9535 E ALONDRA,,90706,https://docquery.fec.gov/cgi-bin/fecimg/?28990078566,,YE,2007,H4,JOINT FEDERAL/NON-FEDERAL ACTIVITY,J,STONEWALL DEMOCRATIC CLUB,Q,4020420081084180157,H4S00000000000015461
ADMIN,X,,"{'affiliated_committee_name': ""LA VICTORY '98"", 'candidate_ids': ['S2CA00286'], 'city': 'BURBANK', 'committee_id': 'C00323923', 'committee_type': 'Q', 'committee_type_full': 'PAC - Qualified', 'cycle': 2008, 'cycles': [1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024], 'cycles_has_activity': [1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024], 'cycles_has_financial': [1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024], 'designation': 'J', 'designation_full': 'Joint fundraising committee', 'filing_frequency': 'Q', 'first_f1_date': '1996-10-15', 'first_file_date': '1996-10-15', 'is_active': True, 'last_cycle_has_activity': 2024, 'last_cycle_has_financial': 2024, 'last_f1_date': '2017-09-11', 'last_file_date': '2024-07-15', 'name': 'STONEWALL DEMOCRATIC CLUB', 'organization_type': None, 'organization_type_full': None, 'party': 'DEM', 'party_full': 'DEMOCRATIC PARTY', 'state': 'CA', 'state_full': 'California', 'street_1': '1212 S. Victory Blvd', 'street_2': None, 'treasurer_name': 'Lucas, R. Andrew', 'zip': '91502'}",C00323923,2008,,41.03,MEETING REFRESHMENTS,12312.72,,,20.51,316584.0,F3X,F3X-21A,,,28990078565,21A,4012420081083644106,X,,20.5,,REDONDO BEACH,TRADER JOE'S,CA,1761 S ELENA AV,,90277,https://docquery.fec.gov/cgi-bin/fecimg/?28990078565,,YE,2007,H4,JOINT FEDERAL/NON-FEDERAL ACTIVITY,J,STONEWALL DEMOCRATIC CLUB,Q,4020420081084180153,H4S00000000000015449
ADMIN,X,,"{'affiliated_committee_name': ""LA VICTORY '98"", 'candidate_ids': ['S2CA00286'], 'city': 'BURBANK', 'committee_id': 'C00323923', 'committee_type': 'Q', 'committee_type_full': 'PAC - Qualified', 'cycle': 2008, 'cycles': [1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024], 'cycles_has_activity': [1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024], 'cycles_has_financial': [1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024], 'designation': 'J', 'designation_full': 'Joint fundraising committee', 'filing_frequency': 'Q', 'first_f1_date': '1996-10-15', 'first_file_date': '1996-10-15', 'is_active': True, 'last_cycle_has_activity': 2024, 'last_cycle_has_financial': 2024, 'last_f1_date': '2017-09-11', 'last_file_date': '2024-07-15', 'name': 'STONEWALL DEMOCRATIC CLUB', 'organization_type': None, 'organization_type_full': None, 'party': 'DEM', 'party_full': 'DEMOCRATIC PARTY', 'state': 'CA', 'state_full': 'California', 'street_1': '1212 S. Victory Blvd', 'street_2': None, 'treasurer_name': 'Lucas, R. Andrew', 'zip': '91502'}",C00323923,2008,,184.5,POSTAGE,12312.72,,,92.25,316584.0,F3X,F3X-21A,,,28990078564,21A,4012420081083644106,X,,92.3,,CANOGA PARK,USPS,CA,8201 CANOGA AV,,91304,https://docquery.fec.gov/cgi-bin/fecimg/?28990078564,,YE,2007,H4,JOINT FEDERAL/NON-FEDERAL ACTIVITY,J,STONEWALL DEMOCRATIC CLUB,Q,4020420081084180151,H4S00000000000014377
ADMIN,X,,"{'affiliated_committee_name': 'NONE', 'candidate_ids': [], 'city': 'BURBANK', 'committee_id': 'C00401463', 'committee_type': 'N', 'committee_type_full': 'PAC - Nonqualified', 'cycle': 2008, 'cycles': [2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024], 'cycles_has_activity': [2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024], 'cycles_has_financial': [2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024], 'designation': 'U', 'designation_full': 'Unauthorized', 'filing_frequency': 'Q', 'first_f1_date': '2004-05-25', 'first_file_date': '2004-05-25', 'is_active': True, 'last_cycle_has_activity': 2024, 'last_cycle_has_financial': 2024, 'last_f1_date': '2015-07-21', 'last_file_date': '2024-07-03', 'name': 'DEMOCRATIC CLUB OF PASADENA FOOTHILLS', 'organization_type': None, 'organization_type_full': None, 'party': None, 'party_full': None, 'state': 'CA', 'state_full': 'California', 'street_1': '1212 S. Victory Blvd', 'street_2': None, 'treasurer_name': 'Durkee, Kinde', 'zip': '91502'}",C00401463,2008,,70.0,NEWSLETTER PRINTING,5899.38,,,35.0,316151.0,F3X,F3X-21A,,,28930075766,21A,4012220081083613648,X,,35.0,,SANTA ANA,FED EX KINKO'S,CA,3611 S BRISTOL AV,,92704,https://docquery.fec.gov/cgi-bin/fecimg/?28930075766,,YE,2007,H4,JOINT FEDERAL/NON-FEDERAL ACTIVITY,U,DEMOCRATIC CLUB OF PASADENA FOOTHILLS,N,4020120081083903731,H4S00000000000015502
07/04/2007 FUNDRAISER,,,"{'affiliated_committee_name': 'NONE', 'candidate_ids': [], 'city': 'BURBANK', 'committee_id': 'C00401463', 'committee_type': 'N', 'committee_type_full': 'PAC - Nonqualified', 'cycle': 2008, 'cycles': [2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024], 'cycles_has_activity': [2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024], 'cycles_has_financial': [2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024], 'designation': 'U', 'designation_full': 'Unauthorized', 'filing_frequency': 'Q', 'first_f1_date': '2004-05-25', 'first_file_date': '2004-05-25', 'is_active': True, 'last_cycle_has_activity': 2024, 'last_cycle_has_financial': 2024, 'last_f1_date': '2015-07-21', 'last_file_date': '2024-07-03', 'name': 'DEMOCRATIC CLUB OF PASADENA FOOTHILLS', 'organization_type': None, 'organization_type_full': None, 'party': None, 'party_full': None, 'state': 'CA', 'state_full': 'California', 'street_1': '1212 S. Victory Blvd', 'street_2': None, 'treasurer_name': 'Durkee, Kinde', 'zip': '91502'}",C00401463,2008,,52.39,EVENT REFRESHMENTS,1050.47,,,26.2,316151.0,F3X,F3X-21A,X,,28930075764,21A,4012220081083613648,X,,26.2,,BELLFLOWER,SMART & FINAL,CA,9535 E ALONDRA,,90706,https://docquery.fec.gov/cgi-bin/fecimg/?28930075764,,YE,2007,H4,JOINT FEDERAL/NON-FEDERAL ACTIVITY,U,DEMOCRATIC CLUB OF PASADENA FOOTHILLS,N,4020120081083903725,H4S00000000000015500
ADMIN,X,,"{'affiliated_committee_name': 'NONE', 'candidate_ids': [], 'city': 'BURBANK', 'committee_id': 'C00401463', 'committee_type': 'N', 'committee_type_full': 'PAC - Nonqualified', 'cycle': 2008, 'cycles': [2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024], 'cycles_has_activity': [2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024], 'cycles_has_financial': [2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024], 'designation': 'U', 'designation_full': 'Unauthorized', 'filing_frequency': 'Q', 'first_f1_date': '2004-05-25', 'first_file_date': '2004-05-25', 'is_active': True, 'last_cycle_has_activity': 2024, 'last_cycle_has_financial': 2024, 'last_f1_date': '2015-07-21', 'last_file_date': '2024-07-03', 'name': 'DEMOCRATIC CLUB OF PASADENA FOOTHILLS', 'organization_type': None, 'organization_type_full': None, 'party': None, 'party_full': None, 'state': 'CA', 'state_full': 'California', 'street_1': '1212 S. Victory Blvd', 'street_2': None, 'treasurer_name': 'Durkee, Kinde', 'zip': '91502'}",C00401463,2008,,39.4,NEWSLETTER PRINTING,5899.38,,,19.7,316151.0,F3X,F3X-21A,,,28930075763,21A,4012220081083613648,X,,19.7,,PASADENA,COPY RIGHT,CA,908 E COLORADO BL,,91106,https://docquery.fec.gov/cgi-bin/fecimg/?28930075763,,YE,2007,H4,JOINT FEDERAL/NON-FEDERAL ACTIVITY,U,DEMOCRATIC CLUB OF PASADENA FOOTHILLS,N,4020120081083903723,H4S00000000000015073
ADMIN,X,,"{'affiliated_committee_name': 'NONE', 'candidate_ids': [], 'city': 'BURBANK', 'committee_id': 'C00401463', 'committee_type': 'N', 'committee_type_full': 'PAC - Nonqualified', 'cycle': 2008, 'cycles': [2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024], 'cycles_has_activity': [2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024], 'cycles_has_financial': [2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024], 'designation': 'U', 'designation_full': 'Unauthorized', 'filing_frequency': 'Q', 'first_f1_date': '2004-05-25', 'first_file_date': '2004-05-25', 'is_active': True, 'last_cycle_has_activity': 2024, 'last_cycle_has_financial': 2024, 'last_f1_date': '2015-07-21', 'last_file_date': '2024-07-03', 'name': 'DEMOCRATIC CLUB OF PASADENA FOOTHILLS', 'organization_type': None, 'organization_type_full': None, 'party': None, 'party_full': None, 'state': 'CA', 'state_full': 'California', 'street_1': '1212 S. Victory Blvd', 'street_2': None, 'treasurer_name': 'Durkee, Kinde', 'zip': '91502'}",C00401463,2008,,164.0,POSTAGE,5899.38,,,82.0,316151.0,F3X,F3X-21A,,,28930075760,21A,4012220081083613648,X,,82.0,,CANOGA PARK,USPS,CA,8201 CANOGA AV,,91304,https://docquery.fec.gov/cgi-bin/fecimg/?28930075760,,YE,2007,H4,JOINT FEDERAL/NON-FEDERAL ACTIVITY,U,DEMOCRATIC CLUB OF PASADENA FOOTHILLS,N,4020120081083903712,H4S00000000000013595
