candidate_id,candidate_name,committee_id,committee_name,count,cycle,total
H4NH02175,"HODES, PAUL W",C30000798,"AMERICAN FEDERATION OF STATE, COUNTY AND MUNICIPAL EMPLOYEES, AFL-CIO",1,2010,8923.17
H6FL00046,"BOYD, F. ALLEN JR.",C30000798,"AMERICAN FEDERATION OF STATE, COUNTY AND MUNICIPAL EMPLOYEES, AFL-CIO",1,2010,8923.17
H6NH01230,"SHEA-PORTER, CAROL",C30000798,"AMERICAN FEDERATION OF STATE, COUNTY AND MUNICIPAL EMPLOYEES, AFL-CIO",1,2010,8923.17
H6WI08122,"KAGEN, STEVEN L.",C30000798,"AMERICAN FEDERATION OF STATE, COUNTY AND MUNICIPAL EMPLOYEES, AFL-CIO",1,2010,15000.0
H8FL24026,"KOSMAS, SUZANNE",C30000798,"AMERICAN FEDERATION OF STATE, COUNTY AND MUNICIPAL EMPLOYEES, AFL-CIO",1,2010,8923.17
H8MD01086,"KRATOVIL, FRANK M MR. JR",C30000798,"AMERICAN FEDERATION OF STATE, COUNTY AND MUNICIPAL EMPLOYEES, AFL-CIO",1,2010,8923.17
P00003392,"CLINTON, HILLARY RODHAM",C30000798,"AMERICAN FEDERATION OF STATE, COUNTY AND MUNICIPAL EMPLOYEES, AFL-CIO",2,2008,167625.0
P80003338,"OBAMA, BARACK",C30000798,"AMERICAN FEDERATION OF STATE, COUNTY AND MUNICIPAL EMPLOYEES, AFL-CIO",3,2008,316594.0
P80002801,"MCCAIN, JOHN S.",C30000806,ONE CAMPAIGN; THE,3,2008,1296783.5
P80003338,"OBAMA, BARACK",C30000806,ONE CAMPAIGN; THE,3,2008,1296783.5
H0IL05302,"GEOGHEGAN, THOMAS HOWARD",C30000814,CALIFORNIA NURSES ASSOCIATION/NATIONAL NURSES ORGANIZING COMMITTEE,2,2010,28750.0
P80003338,"OBAMA, BARACK",C30000814,CALIFORNIA NURSES ASSOCIATION,1,2008,150000.0
P80003338,"OBAMA, BARACK",C30000822,PowerPac.org,34,2008,1041556.6
H2AL01077,"BONNER, JO",C30000848,NATIONAL EDUCATION ASSOCIATION,2,2010,26362.0
H2MD05361,"WYNN, ALBERT R",C30000848,NATIONAL EDUCATION ASSOCIATION,1,2008,101200.0
P80001571,"TRUMP, DONALD J.",C30000848,NATIONAL EDUCATION ASSOCIATION,3,2020,194899.15
S0FL00312,"MEEK, KENDRICK B",C30000848,NATIONAL EDUCATION ASSOCIATION,2,2010,53000.0
S6ME00159,"COLLINS, SUSAN M.",C30000848,NATIONAL EDUCATION ASSOCIATION,3,2020,194899.15
S8CO00172,"UDALL, MARK E",C30000848,NATIONAL EDUCATION ASSOCIATION,1,2008,500000.0
H2MD05361,"WYNN, ALBERT R",C30000855,ELDER CITIZENS FOR A BETTER GOVERNMENT,1,2008,20000.0
P80002801,"MCCAIN, JOHN S.",C30000863,CAMPAIGN TO DEFEND AMERICA,2,2008,141073.0
P00003392,"CLINTON, HILLARY RODHAM",C30000871,AMERICAN LEADERSHIP PROJECT,25,2008,2482030.94
P80002801,"MCCAIN, JOHN S.",C30000871,AMERICAN LEADERSHIP PROJECT,3,2008,78675.0
